"","ID","SITE","DBCODE","SITECODE","SITENAME","LONDD","LATDD","ID","BslTempMn.Sprg","BslTempMn.Summ","BslTempMn.Fall","BslTempMn.Wint","BslTempSd.Sprg","BslTempSd.Summ","BslTempSd.Fall","BslTempSd.Wint","BslPrecMn.Sprg","BslPrecMn.Summ","BslPrecMn.Fall","BslPrecMn.Wint","BslPrecSd.Sprg","BslPrecSd.Summ","BslPrecSd.Fall","BslPrecSd.Wint"
"1",1,"1","GPD1","G1","Diana 500",-69.992,60.979,1,-22.3288883897993,11.0455553086681,-4.55777767590351,-42.7199990451336,0.652349017194996,1.39484895839243,1.97827735834254,2.01306561049943,60.4666675676902,170.500002540648,115.933335060875,56.9666675155362,3.42685478001504,0.953939215631747,6.65231799091004,6.80024519495379
"2",2,"2","GPD2","G2","Alderdale Bog",-79.2,46.05,2,7.6166664964209,36.3488880764279,14.2077774602092,-20.2311106589105,0.992085323616208,0.182279797126866,0.2386613850479,1.11684241559708,192.600002869964,267.433337318401,271.300004042685,171.133335883419,10.6775466937758,10.0828238288258,32.7006121023524,9.93243858644149
"3",3,"4","GPD3","G3","Alexis Lake",-57.033,52.517,3,-7.36666650200884,18.6011106953439,4.35888879146013,-27.0933327277501,0.749229216829131,1.02125374546943,2.23964856655952,0.536780514226038,250.666670401891,282.633337544898,293.266671036681,291.600004345179,4.20277692243375,20.8500202946927,14.1351809075065,30.31154940583
"4",4,"8","GPD4","G5","Anderson Pond",-85.5,36.033,4,27.7466660464803,48.8455544637723,30.5844437608288,8.18111092824903,0.534114000027024,0.158336253743854,0.611667409882043,1.21049726897648,365.833338784675,345.200005143881,279.366670829554,373.200005561113,44.7538086985287,28.8896179426679,11.4722856160277,13.2366916267497
"5",5,"10","GPD5","G6","Lac des Atocas",-73.311,45.543,5,9.06777757509715,37.7011102684256,15.3877774338341,-18.7577773585088,1.1995940403305,0.455830530123776,0.311204344151393,0.962186916517291,247.600003689528,284.53333757321,285.766670924922,264.400003939867,7.20832862378851,13.1386201131591,25.9894854405279,15.7952526866581
"6",6,"12","GPD6","G8","Lac à l'Ange",-70.685,47.482,6,2.49222216651671,31.3244437442886,9.27333312605818,-24.2111105699506,1.17190409072813,0.61871131118725,0.121426701286482,1.27279363263802,330.600004926324,373.833338903884,349.733338544766,315.900004707277,14.5917787245253,7.87802863557659,31.5089409996826,11.593532852661
"7",7,"15","GPD7","G10","Basin Pond",-70.05,44.47,7,10.0233331092944,36.9499991741031,16.6066662954787,-13.0633330413451,1.19855929357955,0.525483892226214,0.293844245450796,1.02892066285559,294.566671056052,275.66667077442,309.6000046134,303.500004522502,9.28726740779456,24.4708673973699,17.1834224995992,14.8016893133652
"8",8,"16","GPD8","G11","Basswood Road Lake/Splan Pond",-67.331,45.256,8,8.8399998024106,35.2733325449129,15.9877774204231,-13.9677774655736,1.2358172907721,0.569717266078551,0.170010889097163,1.23513529261431,270.033337357144,263.566670594116,331.433338272075,337.766671699782,19.7315317432877,11.8563627442292,29.4812374101872,18.9294306309567
"9",9,"18","GPD9","G12","Belmont Bog1",-77.917,42.25,9,11.0388886421505,36.4166658526907,17.3266662793855,-9.55222200871342,0.885747206078638,0.346554461277173,0.734188878447955,0.634423024960296,241.733336935441,294.966671062012,231.800003454089,172.16666923215,8.30020092446651,33.0606014147863,18.2485618590746,12.1742900306521
"10",10,"19","GPD10","G13","Lac à la Busque",-70.596,46.279,10,5.98555542176796,34.3866658980648,12.0911108408537,-20.9022217550211,1.30423381718315,0.541181822204997,0.223739261242716,1.14521384736019,232.73333680133,335.60000500083,280.700004182756,236.966670197745,10.070915368326,11.2853889518981,26.251286073975,10.3568014623256
"11",11,"20","GPD11","G14","Bereziuk",-76.12,54.047,11,-11.7666664036612,22.9099994879216,2.30555550402237,-40.4555546513034,0.509345974496471,1.11940954157129,0.702078907801542,1.86226361476916,101.466668178638,242.100003607571,251.033337074021,95.6666680922111,4.75850123548973,8.40178564971435,6.3319297633666,1.35769414385897
"12",12,"22","GPD12","G16","Big Pond",-78.55,39.767,12,21.2988884128216,44.7899989988655,25.3622216553324,0.0311111104157236,0.847744264647837,0.250088867502116,0.675017131470817,0.796285339576974,281.566670862337,314.400004684925,226.066670035323,229.000003412366,7.59363780093801,29.5761732830598,12.0034718988862,13.8719142779524
"13",13,"25","GPD13","G19","BL-Tombigbee",-88.474,33.563,13,34.6488881144259,53.7144432438331,36.7166658459852,16.0877774181879,0.343920741151052,0.227677479606003,0.603351735772572,1.3188223970043,398.700005941093,299.833337801198,274.300004087389,407.300006069243,50.3312037954204,17.9491878071083,18.8793540838251,22.9867356479177
"14",14,"26","GPD14","G20","Blue Mounds Creek",-89.867,43.083,14,14.3866663450996,41.4733324063321,18.7966662465284,-14.4666663433115,0.14240005923907,0.256536757929788,0.450924965203331,0.619435212792487,216.766669896742,308.033337923388,205.366669726868,92.6000013798475,22.8040204532279,27.3459934107286,10.7360764140559,5.23736582811223
"15",15,"27","GPD15","G21","Bog D",-95.167,47.183,15,9.13666646244625,38.2333324787517,12.9311108220783,-25.5777772060699,0.167365199067539,0.124409714596034,0.906644178802949,1.72172175260994,144.300002150238,297.800004437566,119.333335111539,44.9000006690621,3.83536183930437,2.52388593043362,9.39485688894651,1.56204995845769
"16",16,"29","GPD16","G22","Border Beacon",-63.2,55.333,16,-16.4799996316433,18.1088884841237,-3.9599999114871,-41.5922212925636,0.710656957157659,1.35411031044219,1.97707130280464,0.365411986608066,148.866668884953,260.200003877282,211.600003153086,139.833335417012,9.7674631392483,8.47171777970163,3.53411946207694,15.2165482365043
"17",17,"32","GPD17","G24","Boundary Pond",-70.675,45.567,17,6.49999985471368,34.3977770089275,12.7077774937368,-19.2399995699525,1.28145747487939,0.533597145042669,0.244047652307399,1.07849172108451,213.200003176928,317.966671404739,255.333337138096,223.76667000105,7.11898879830427,15.1961620225432,21.398676290367,10.0201465221615
"18",18,"33","GPD18","G25","Brandreth Bog",-74.683,43.917,18,7.64111094031897,34.2188881240371,13.8422219128244,-16.5133329642316,1.09901637068904,0.387016116958619,0.586603518844772,0.730418432996667,268.300003997982,308.600004598498,301.23333782206,258.20000384748,9.40638095320987,29.2169475722594,22.7113044254501,16.7797499501972
"19",20,"38","GPD20","G28","Camel Lake",-85.017,30.267,19,39.7244435565339,54.9722209934973,42.3299990538508,26.1077771942235,0.347472346582674,0.200564015036815,0.448342616896066,1.32531055591842,345.200005143881,495.133340711395,345.300005145371,321.100004784763,40.3691720074607,32.8111774463782,34.2299581495374,25.6922171030881
"20",21,"40","GPD21","G30","Carbuncle Pond",-71.7735,41.6979,20,16.4833329649021,41.8311101761129,23.9644439087974,-2.2811110601243,1.08302044343545,0.450312638526217,0.473008485161961,1.01603985693868,296.100004412234,268.500004000962,284.46667090555,295.833337741594,17.3207970065178,32.7262896142931,4.14769018202091,15.7150673143138
"21",22,"41","GPD22","G31","Caribou Hill",-63.25,55.667,21,-16.6622218497925,17.4399996101856,-3.78333324876924,-41.1122213032924,0.766813978366259,1.37458273425485,2.06785713775874,0.512437879995016,153.100002281368,248.933337042729,203.800003036857,146.66666885217,8.80965392696888,7.61402226560136,2.72213155832616,15.379315341792
"22",23,"42","GPD23","G32","Lac Castor",-72.999,46.614,22,4.68777767299778,33.7733325784405,10.7877775366522,-24.2455550136252,1.19896403221819,0.513235910021619,0.198671509295891,1.15576010563066,248.800003707409,314.066671346625,310.26667129,257.366670501729,6.781592834328,8.31644968688931,29.403628332225,13.1842079213608
